Team_1,T1_score,T1_wickets,T1_overs,T1_rpo,T1_result,Team_2,T2_score,T2_wickets,T2_overs,T2_rpo,T2_result
Bangladesh,160,10,36.3,4.38,0,South Africa,164,2,31.1,5.26,1
Sri Lanka,255,8,50,5.1,0,Pakistan,259,4,45.2,5.71,1
South Africa,162,10,46,3.52,0,Bangladesh,167,3,27.4,6.03,1
South Africa,168,9,40,4.2,0,Bangladesh,170,1,26.1,6.49,1
Pakistan,287,8,50,5.74,0,Sri Lanka,288,8,48.1,5.97,1
Pakistan,316,4,50,6.32,1,Sri Lanka,181,10,41.1,4.39,0
Sri Lanka,256,9,50,5.12,0,Pakistan,257,3,40.5,6.29,1
Sri Lanka,368,4,50,7.36,1,Pakistan,203,10,37.2,5.43,0
South Africa,304,7,50,6.08,1,New Zealand,284,10,48.1,5.89,0
South Africa,204,10,49.3,4.12,0,New Zealand,207,2,44.3,4.65,1
South Africa,283,7,50,5.66,1,New Zealand,221,10,49.2,4.47,0
Australia,305,6,50,6.1,1,England,246,10,45.3,5.4,0
Australia,309,7,49,6.3,1,England,245,10,42.3,5.76,0
England,300,8,50,6,1,Australia,207,10,44,4.7,0
Australia,299,7,50,5.98,0,England,304,7,48.2,6.28,1
England,138,10,33,4.18,0,Australia,140,2,24.2,5.75,1
South Africa,303,5,50,6.06,1,India,298,7,50,5.96,0
India,247,9,50,4.94,1,South Africa,225,10,43.4,5.15,0
South Africa,270,7,50,5.4,1,India,252,6,50,5.04,0
India,299,8,50,5.98,1,South Africa,264,9,50,5.28,0
South Africa,438,4,50,8.76,1,India,224,10,36,6.22,0
West Indies,159,8,26,6.11,0,Sri Lanka,164,9,24.5,6.6,1
West Indies,214,10,37.4,5.68,0,Sri Lanka,225,2,36.3,6.16,1
West Indies,206,9,36,5.72,0,Sri Lanka,180,5,32.3,5.53,1
England,216,10,49.4,4.34,0,Pakistan,217,4,43.4,4.96,1
England,283,5,50,5.66,1,Pakistan,188,10,45.5,4.1,0
Pakistan,208,10,49.5,4.17,0,England,210,4,41,5.12,1
England,355,5,50,7.1,1,Pakistan,271,10,40.4,6.66,0
Sri Lanka,188,10,47,4,0,New Zealand,191,3,21,9.09,1
Sri Lanka,117,10,27.4,4.22,0,New Zealand,118,0,8.2,14.16,1
New Zealand,276,8,50,5.52,0,Sri Lanka,277,2,46.2,5.97,1
New Zealand,294,5,50,5.88,1,Sri Lanka,258,10,47.1,5.46,0
India,309,3,50,6.18,0,Australia,310,5,49.2,6.28,1
India,308,8,50,6.16,0,Australia,309,3,49,6.3,1
India,295,6,50,5.9,0,Australia,296,7,48.5,6.06,1
Australia,348,8,50,6.96,1,India,323,10,49.2,6.54,0
Australia,330,7,50,6.6,0,India,331,4,49.4,6.66,1
New Zealand,280,8,50,5.6,1,Pakistan,210,10,46,4.56,0
Pakistan,290,10,47.3,6.1,0,New Zealand,265,7,42.4,6.21,1
New Zealand,307,8,50,6.14,1,Australia,148,10,24.2,6.08,0
England,399,9,50,7.98,1,South Africa,250,5,33.3,7.46,0
New Zealand,281,9,50,5.62,0,Australia,283,6,46.3,6.08,1
South Africa,262,7,50,5.24,0,England,263,5,46.2,5.67,1
New Zealand,246,10,45.3,5.4,1,Australia,191,10,43.4,4.37,0
England,318,8,50,6.36,0,South Africa,319,3,46.2,6.88,1
England,262,10,47.5,5.47,0,South Africa,266,9,47.2,5.61,1
England,236,10,45,5.24,0,South Africa,237,5,44,5.38,1
South Africa,188,10,46.5,4.01,0,West Indies,191,6,48.1,3.96,1
West Indies,116,10,32.3,3.56,0,Australia,117,4,25.4,4.55,1
South Africa,189,9,50,3.78,1,Australia,142,10,34.2,4.13,0
Australia,288,6,50,5.76,1,South Africa,252,10,47.4,5.28,0
Australia,265,7,50,5.3,0,West Indies,266,6,45.4,5.82,1
South Africa,343,4,50,6.86,1,West Indies,204,10,38,5.36,0
West Indies,282,8,50,5.64,0,Australia,283,4,48.4,5.81,1
Sri Lanka,254,7,50,5.08,0,England,256,0,34.1,7.49,1
West Indies,285,10,49.5,5.71,1,South Africa,185,10,46,4.02,0
Australia,270,9,50,5.4,1,West Indies,212,10,45.4,4.64,0
Sri Lanka,305,5,42,7.26,0,England,309,4,40.1,7.69,1
England,324,7,50,6.48,1,Sri Lanka,202,10,42.4,4.73,0
Sri Lanka,227,8,50,4.54,0,Australia,228,7,46.5,4.86,1
Sri Lanka,288,10,48.5,5.89,1,Australia,206,10,47.2,4.35,0
Pakistan,260,6,50,5.2,0,England,194,3,34.3,5.62,1
Pakistan,251,10,49.5,5.03,0,England,255,6,47.3,5.36,1
Sri Lanka,226,10,49.2,4.58,0,Australia,227,8,46,4.93,1
England,444,3,50,8.88,1,Pakistan,275,10,42.4,6.44,0
Sri Lanka,212,10,50,4.24,0,Australia,217,4,31,7,1
Pakistan,247,8,50,4.94,0,England,252,6,48,5.25,1
Sri Lanka,195,10,40.2,4.83,0,Australia,199,5,43,4.62,1
England,302,9,50,6.04,0,Pakistan,304,6,48.2,6.28,1
Bangladesh,265,10,50,5.3,1,Afghanistan,258,10,50,5.16,0
Bangladesh,208,10,49.2,4.21,0,Afghanistan,212,8,49.4,4.26,1
Pakistan,284,9,49,5.79,1,West Indies,175,10,38.4,4.52,0
Australia,294,9,50,5.88,0,South Africa,295,4,36.2,8.11,1
Bangladesh,279,8,50,5.58,1,Afghanistan,138,10,33.5,4.07,0
South Africa,361,6,50,7.22,1,Australia,219,10,37.4,5.81,0
Pakistan,337,5,50,6.74,1,West Indies,278,7,50,5.56,0
Pakistan,308,6,50,6.16,1,West Indies,172,10,44,3.9,0
Australia,371,6,50,7.42,0,South Africa,372,6,49.2,7.54,1
England,309,8,50,6.18,1,Bangladesh,288,10,47.5,6.02,0
Australia,167,10,36.4,4.55,0,South Africa,168,4,35.3,4.73,1
Bangladesh,238,8,50,4.76,1,England,204,10,44.4,4.56,0
Bangladesh,277,6,50,5.54,0,England,278,6,47.5,5.81,1
South Africa,327,8,50,6.54,1,Australia,296,10,48.2,6.12,0
New Zealand,190,10,43.5,4.33,0,India,194,4,33.1,5.84,1
